Frequency	Phi	Theta	EPhi real	EPhi imaginary	ETheta real	ETheta imaginary	Gain . dB	Gain Phi. Lin	Gain Theta. Lin
2400000000	0	-3.1415926536	-0.0101339250137958	-0.0844578223307526	0.00576790154401296	0.0709319873230104	-19.1007950482135	0.00723582018903821	0.00506461551381313
2400000000	0	-3.089232776	-0.0278016373830758	-0.0877284153965243	0.135203284635738	0.0971307693289419	-14.4148918121579	0.00846920590916516	0.0277143145267245
2400000000	0	-3.0368728985	-0.0454887990720156	-0.100345440202024	0.248562259770328	0.111248849838012	-10.6399956214165	0.0121384382103522	0.0741595035724126
2400000000	0	-2.9845130209	-0.0611834719176527	-0.1190554035139	0.335426277707885	0.103331165948025	-8.50455368667387	0.0179176063417557	0.123188117633145
2400000000	0	-2.9321531434	-0.0729523959054356	-0.139296301434553	0.388286893170507	0.0665872988712742	-7.44905854180438	0.0247255116616893	0.155200579778977
2400000000	0	-2.8797932658	-0.0791930435037169	-0.155997050915351	0.402925291400842	-0.0013439190890073	-7.14538978670512	0.0306066180336682	0.162350596568971
2400000000	0	-2.8274333882	-0.0788559354092215	-0.164471778614548	0.378460143451843	-0.0977401910724908	-7.30359939015085	0.0332692245098962	0.152785225132477
2400000000	0	-2.7750735107	-0.0716047361701124	-0.161256834858602	0.317120477706173	-0.214857601545537	-7.49921244778986	0.0311310050306058	0.146729186322492
2400000000	0	-2.7227136331	-0.0578893558170674	-0.144747244676908	0.2238205655669	-0.340718108928857	-7.20133705616108	0.0243029423584717	0.166184475322743
2400000000	0	-2.6703537556	-0.0389187933104933	-0.115522622513953	0.105617258589047	-0.460533672978375	-6.23228898238312	0.0148601487852462	0.223246269258818
2400000000	0	-2.617993878	-0.0165341465168524	-0.0763047969514503	-0.0288810472465279	-0.558589954884277	-4.96273781611127	0.0060958000388428	0.312856852587675
2400000000	0	-2.5656340004	0.00700387727757106	-0.0315516973635599	-0.170105802929881	-0.620346824893411	-3.82150016839349	0.00104456390344095	0.413766167345756
2400000000	0	-2.5132741229	0.0292864909572821	0.0132461315146559	-0.308096740205831	-0.63447852074775	-3.0231762868216	0.00103315855269453	0.497486594615712
2400000000	0	-2.4609142453	0.0480523503966181	0.0524492323871392	-0.433045727114496	-0.594578150851444	-2.62718495419636	0.0050599503566395	0.541051779242045
2400000000	0	-2.4085543678	0.0614682206431738	0.0811849276319951	-0.535827689269281	-0.500289542180546	-2.6140154003384	0.0103693346236502	0.537400938602878
2400000000	0	-2.3561944902	0.0683574771263884	0.0961407720899171	-0.608531895767428	-0.357699620206281	-2.90580878381015	0.0139157927371301	0.498260086462018
2400000000	0	-2.3038346126	0.0683458162495472	0.0961017081633489	-0.644996648252706	-0.178917770687483	-3.35415432346581	0.0139066889107304	0.448032244925004
2400000000	0	-2.2514747351	0.0619044429635227	0.0821398504809735	-0.641330872518903	0.0191269508749116	-3.74430091423115	0.0105791150956607	0.411671128295629
2400000000	0	-2.1991148575	0.0502845900874523	0.0574243771031017	-0.596382349658764	0.216537832048323	-3.88928475203226	0.00582609908594234	0.402560539692696
2400000000	0	-2.14675498	0.0353516262672625	0.0266832018361024	-0.512090794980813	0.392732430480049	-3.78369427260673	0.00196173073996638	0.416475744254848
2400000000	0	-2.0943951024	0.0193402565681682	-0.00459294905868052	-0.393651231277447	0.528875834018163	-3.61444774830506	0.000395140705178207	0.434670939694658
2400000000	0	-2.0420352248	0.0045626290930405	-0.0310697546940502	-0.24941433388257	0.610162498835541	-3.61019886225786	0.000986147240989114	0.434505784931318
2400000000	0	-1.9896753473	-0.00689281797772187	-0.0484565432622038	-0.0904683825703802	0.627658333037973	-3.93043834535648	0.00239554752459583	0.402139511276908
2400000000	0	-1.9373154697	-0.0134329437360669	-0.0542116226713242	0.0701183677742906	0.579466222650819	-4.63672612158783	0.00311934401007437	0.340697688692539
2400000000	0	-1.8849555922	-0.0141671875703183	-0.0479465076556266	0.218369601180027	0.471060514807343	-5.6529880298612	0.00249957680002364	0.269583291330083
2400000000	0	-1.8325957146	-0.00902433916428429	-0.0314608231573253	0.340709887383817	0.314738724839718	-6.65114351995036	0.00107122209108853	0.215143692274825
2400000000	0	-1.780235837	0.00123564627727257	-0.00840222326222797	0.425384688607582	0.128248854771371	-7.04494417580129	7.21241774708624E-5	0.197399902051938
2400000000	0	-1.7278759595	0.0151158224408139	0.0163907865129262	0.463829074468407	-0.067245886821057	-6.57268358327331	0.000497145970574537	0.219659419616569
2400000000	0	-1.6755160819	0.0305701634069421	0.0377514638170878	0.451806637205751	-0.249619768328972	-5.70572393186987	0.00235970791106003	0.266439266163779
2400000000	0	-1.6231562044	0.0452614742225571	0.0511063276576269	0.390149316876803	-0.398356756491359	-5.00911098839779	0.00466045777544792	0.310904594901752
2400000000	0	-1.5707963268	0.0568572675769582	0.0532988659726263	0.284964746774486	-0.496929265597997	-4.75971307618365	0.0060735179902858	0.328143601912012
2400000000	0	-1.5184364492	0.0633273979840838	0.0431751202416806	0.147237279448508	-0.534694756854946	-5.03829301415735	0.00587445034331812	0.307577299467568
2400000000	0	-1.4660765717	0.0632075620037984	0.0218308262799984	-0.00817510612422935	-0.508082171286815	-5.80562897304059	0.00447178087053149	0.258214325139667
2400000000	0	-1.4137166941	0.0557973841293599	-0.00752332161805056	-0.164063640962194	-0.420929331041431	-6.83467055000372	0.00316994844384797	0.204098380016758
2400000000	0	-1.3613568166	0.0412700001744018	-0.0400575820223509	-0.302750700848587	-0.283938583454695	-7.55507817291543	0.00330782279187249	0.172279106038569
