#Parameters = {AL=32.6; AT=0; AW=1.5; C1=8e-13; Fdy=15.5; Gx=30; Gy=28; L1=4.6e-09; ST=1.5; ShT=0.035; Sx=30; Sy=30; b=1.5; d=1.5; d1=1; d2=5; h=3}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.2000000000000	-2.2059478261129
2.2006000000000	-2.2122144872193
2.2012000000000	-2.2185634395095
2.2018000000000	-2.2249946481310
2.2024000000000	-2.2315080740345
2.2030000000000	-2.2381036740421
2.2036000000000	-2.2447814009175
2.2042000000000	-2.2515412034374
2.2048000000000	-2.2583830264649
2.2054000000000	-2.2653068110240
2.2060000000000	-2.2723124943759
2.2066000000000	-2.2794000100962
2.2072000000000	-2.2865692881545
2.2078000000000	-2.2938202549944
2.2084000000000	-2.3011528336152
2.2090000000000	-2.3085669436554
2.2096000000000	-2.3160625014769
2.2102000000000	-2.3236394202503
2.2108000000000	-2.3312976100427
2.2114000000000	-2.3390369779049
2.2120000000000	-2.3468574279613
2.2126000000000	-2.3547588615003
2.2132000000000	-2.3627411770654
2.2138000000000	-2.3708042705485
2.2144000000000	-2.3789480352830
2.2150000000000	-2.3871723621388
2.2156000000000	-2.3954771396180
2.2162000000000	-2.4038622539513
2.2168000000000	-2.4123275891957
2.2174000000000	-2.4208730273326
2.2180000000000	-2.4294984483675
2.2186000000000	-2.4382037304294
2.2192000000000	-2.4469887498723
2.2198000000000	-2.4558533813761
2.2204000000000	-2.4647974980491
2.2210000000000	-2.4738209715312
2.2216000000000	-2.4829236720964
2.2222000000000	-2.4921054687583
2.2228000000000	-2.5013662293738
2.2234000000000	-2.5107058207485
2.2240000000000	-2.5201241087424
2.2246000000000	-2.5296209583762
2.2252000000000	-2.5391962339378
2.2258000000000	-2.5488497990890
2.2264000000000	-2.5585815169733
2.2270000000000	-2.5683912503229
2.2276000000000	-2.5782788615671
2.2282000000000	-2.5882442129404
2.2288000000000	-2.5982871665906
2.2294000000000	-2.6084075846879
2.2300000000000	-2.6186053295329
2.2306000000000	-2.6288802636662
2.2312000000000	-2.6392322499769
2.2318000000000	-2.6496611518119
2.2324000000000	-2.6601668330846
2.2330000000000	-2.6707491583845
2.2336000000000	-2.6814079930854
2.2342000000000	-2.6921432034553
2.2348000000000	-2.7029546567649
2.2354000000000	-2.7138422213960
2.2360000000000	-2.7248057669507
2.2366000000000	-2.7358451643595
2.2372000000000	-2.7469602859899
2.2378000000000	-2.7581510057541
2.2384000000000	-2.7694171992169
2.2390000000000	-2.7807587437034
2.2396000000000	-2.7921755184059
2.2402000000000	-2.8036674044912
2.2408000000000	-2.8152342852067
2.2414000000000	-2.8268760459869
2.2420000000000	-2.8385925745591
2.2426000000000	-2.8503837610489
2.2432000000000	-2.8622494980845
2.2438000000000	-2.8741896809023
2.2444000000000	-2.8862042074499
2.2450000000000	-2.8982929784898
2.2456000000000	-2.9104558977029
2.2462000000000	-2.9226928717904
2.2468000000000	-2.9350038105757
2.2474000000000	-2.9473886271059
2.2480000000000	-2.9598472377526
2.2486000000000	-2.9723795623120
2.2492000000000	-2.9849855241037
2.2498000000000	-2.9976650500709
2.2504000000000	-3.0104180708771
2.2510000000000	-3.0232445210048
2.2516000000000	-3.0361443388518
2.2522000000000	-3.0491174668274
2.2528000000000	-3.0621638514479
2.2534000000000	-3.0752834434315
2.2540000000000	-3.0884761977921
2.2546000000000	-3.1017420739325
2.2552000000000	-3.1150810357372
2.2558000000000	-3.1284930516640
2.2564000000000	-3.1419780948350
2.2570000000000	-3.1555361431267
2.2576000000000	-3.1691671792598
2.2582000000000	-3.1828711908875
2.2588000000000	-3.1966481706834
2.2594000000000	-3.2104981164286
2.2600000000000	-3.2244210310980
2.2606000000000	-3.2384169229455
2.2612000000000	-3.2524858055889
2.2618000000000	-3.2666276980935
2.2624000000000	-3.2808426250549
2.2630000000000	-3.2951306166815
2.2636000000000	-3.3094917088751
2.2642000000000	-3.3239259433123
2.2648000000000	-3.3384333675234
2.2654000000000	-3.3530140349712
2.2660000000000	-3.3676680051292
2.2666000000000	-3.3823953435587
2.2672000000000	-3.3971961219846
2.2678000000000	-3.4120704183713
2.2684000000000	-3.4270183169971
2.2690000000000	-3.4420399085277
2.2696000000000	-3.4571352900895
2.2702000000000	-3.4723045653414
2.2708000000000	-3.4875478445457
2.2714000000000	-3.5028652446394
2.2720000000000	-3.5182568893027
2.2726000000000	-3.5337229090285
2.2732000000000	-3.5492634411900
2.2738000000000	-3.5648786301079
2.2744000000000	-3.5805686271165
2.2750000000000	-3.5963335906296
2.2756000000000	-3.6121736862046
2.2762000000000	-3.6280890866071
2.2768000000000	-3.6440799718733
2.2774000000000	-3.6601465293729
2.2780000000000	-3.6762889538702
2.2786000000000	-3.6925074475851
2.2792000000000	-3.7088022202533
2.2798000000000	-3.7251734891850
2.2804000000000	-3.7416214793240
2.2810000000000	-3.7581464233050
2.2816000000000	-3.7747485615111
2.2822000000000	-3.7914281421297
2.2828000000000	-3.8081854212082
2.2834000000000	-3.8250206627092
2.2840000000000	-3.8419341385641
2.2846000000000	-3.8589261287271
2.2852000000000	-3.8759969212281
2.2858000000000	-3.8931468122243
2.2864000000000	-3.9103761060521
2.2870000000000	-3.9276851152781
2.2876000000000	-3.9450741607489
2.2882000000000	-3.9625435716409
2.2888000000000	-3.9800936855093
2.2894000000000	-3.9977248483365
2.2900000000000	-4.0154374145798
2.2906000000000	-4.0332317472184
2.2912000000000	-4.0511082178003
2.2918000000000	-4.0690672064883
2.2924000000000	-4.0871091021056
2.2930000000000	-4.1052343021804
2.2936000000000	-4.1234432129907
2.2942000000000	-4.1417362496083
2.2948000000000	-4.1601138359420
2.2954000000000	-4.1785764047807
2.2960000000000	-4.1971243978357
2.2966000000000	-4.2157582657833
2.2972000000000	-4.2344784683056
2.2978000000000	-4.2532854741323
2.2984000000000	-4.2721797610813
2.2990000000000	-4.2911618160989
2.2996000000000	-4.3102321352997
2.3002000000000	-4.3293912240067
2.3008000000000	-4.3486395967900
2.3014000000000	-4.3679777775058
2.3020000000000	-4.3874062993354
2.3026000000000	-4.4069257048229
2.3032000000000	-4.4265365459134
2.3038000000000	-4.4462393839909
2.3044000000000	-4.4660347899154
2.3050000000000	-4.4859233440603
2.3056000000000	-4.5059056363495
2.3062000000000	-4.5259822662938
2.3068000000000	-4.5461538430275
2.3074000000000	-4.5664209853453
2.3080000000000	-4.5867843217379
2.3086000000000	-4.6072444904285
2.3092000000000	-4.6278021394088
2.3098000000000	-4.6484579264744
2.3104000000000	-4.6692125192613
2.3110000000000	-4.6900665952813
2.3116000000000	-4.7110208419575
2.3122000000000	-4.7320759566604
2.3128000000000	-4.7532326467433
2.3134000000000	-4.7744916295785
2.3140000000000	-4.7958536325923
2.3146000000000	-4.8173193933015
2.3152000000000	-4.8388896593490
2.3158000000000	-4.8605651885401
2.3164000000000	-4.8823467488786
2.3170000000000	-4.9042351186028
2.3176000000000	-4.9262310862228
2.3182000000000	-4.9483354505566
2.3188000000000	-4.9705490207674
2.3194000000000	-4.9928726164008
2.3200000000000	-5.0153070674226
2.3206000000000	-5.0378532142563
2.3212000000000	-5.0605119078217
2.3218000000000	-5.0832840095735
2.3224000000000	-5.1061703915400
2.3230000000000	-5.1291719363631
2.3236000000000	-5.1522895373380
2.3242000000000	-5.1755240984537
2.3248000000000	-5.1988765344339
2.3254000000000	-5.2223477707790
2.3260000000000	-5.2459387438078
2.3266000000000	-5.2696504007006
2.3272000000000	-5.2934836995428
2.3278000000000	-5.3174396093691
2.3284000000000	-5.3415191102082
2.3290000000000	-5.3657231931292
2.3296000000000	-5.3900528602876
2.3302000000000	-5.4145091249734
2.3308000000000	-5.4390930116591
2.3314000000000	-5.4638055560493
2.3320000000000	-5.4886478051310
2.3326000000000	-5.5136208172253
2.3332000000000	-5.5387256620396
2.3338000000000	-5.5639634207219
2.3344000000000	-5.5893351859150
2.3350000000000	-5.6148420618133
2.3356000000000	-5.6404851642199
2.3362000000000	-5.6662656206056
2.3368000000000	-5.6921845701693
2.3374000000000	-5.7182431638992
2.3380000000000	-5.7444425646367
2.3386000000000	-5.7707839471409
2.3392000000000	-5.7972684981550
2.3398000000000	-5.8238974164749
2.3404000000000	-5.8506719130187
2.3410000000000	-5.8775932108990
2.3416000000000	-5.9046625454963
2.3422000000000	-5.9318811645348
2.3428000000000	-5.9592503281603
2.3434000000000	-5.9867713090202
2.3440000000000	-6.0144453923453
2.3446000000000	-6.0422738760344
2.3452000000000	-6.0702580707414
2.3458000000000	-6.0983992999637
2.3464000000000	-6.1266989001350
2.3470000000000	-6.1551582207188
2.3476000000000	-6.1837786243061
2.3482000000000	-6.2125614867148
2.3488000000000	-6.2415081970931
2.3494000000000	-6.2706201580248
2.3500000000000	-6.2998987856383
2.3506000000000	-6.3293455097188
2.3512000000000	-6.3589617738239
2.3518000000000	-6.3887490354017
2.3524000000000	-6.4187087659141
2.3530000000000	-6.4488424509620
2.3536000000000	-6.4791515904154
2.3542000000000	-6.5096376985471
2.3548000000000	-6.5403023041699
2.3554000000000	-6.5711469507791
2.3560000000000	-6.6021731966975
2.3566000000000	-6.6333826152269
2.3572000000000	-6.6647767948022
2.3578000000000	-6.6963573391517
2.3584000000000	-6.7281258674610
2.3590000000000	-6.7600840145429
2.3596000000000	-6.7922334310118
2.3602000000000	-6.8245757834636
2.3608000000000	-6.8571127546609
2.3614000000000	-6.8898460437243
2.3620000000000	-6.9227773663291
2.3626000000000	-6.9559084549078
2.3632000000000	-6.9892410588591
2.3638000000000	-7.0227769447635
2.3644000000000	-7.0565178966048
2.3650000000000	-7.0904657159986
2.3656000000000	-7.1246222224283
2.3662000000000	-7.1589892534872
2.3668000000000	-7.1935686651290
2.3674000000000	-7.2283623319255
2.3680000000000	-7.2633721473316
2.3686000000000	-7.2986000239596
2.3692000000000	-7.3340478938607
2.3698000000000	-7.3697177088153
2.3704000000000	-7.4056114406331
2.3710000000000	-7.4417310814604
2.3716000000000	-7.4780786440991
2.3722000000000	-7.5146561623330
2.3728000000000	-7.5514656912659
2.3734000000000	-7.5885093076691
2.3740000000000	-7.6257891103393
2.3746000000000	-7.6633072204680
2.3752000000000	-7.7010657820216
2.3758000000000	-7.7390669621330
2.3764000000000	-7.7773129515055
2.3770000000000	-7.8158059648289
2.3776000000000	-7.8545482412074
2.3782000000000	-7.8935420446019
2.3788000000000	-7.9327896642842
2.3794000000000	-7.9722934153063
2.3800000000000	-8.0120556389829
2.3806000000000	-8.0520787033895
2.3812000000000	-8.0923650038743
2.3818000000000	-8.1329169635875
2.3824000000000	-8.1737370340245
2.3830000000000	-8.2148276955875
2.3836000000000	-8.2561914581631
2.3842000000000	-8.2978308617175
2.3848000000000	-8.3397484769105
2.3854000000000	-8.3819469057272
2.3860000000000	-8.4244287821295
2.3866000000000	-8.4671967727280
2.3872000000000	-8.5102535774728
2.3878000000000	-8.5536019303671
2.3884000000000	-8.5972446002013
