#Parameters = {AL=32.6; AT=0; AW=1.5; C1=6e-13; Fdy=15.5; Gx=30; Gy=28; L1=4.6e-09; ST=1.5; ShT=0.035; Sx=30; Sy=30; b=1.5; d=1.5; d1=1; d2=5; h=3}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
2.0000000000000	-0.78061632307752
2.0010000000000	-0.78244439954520
2.0020000000000	-0.78430516486075
2.0030000000000	-0.78619824189853
2.0040000000000	-0.78812325927858
2.0050000000000	-0.79007985151503
2.0060000000000	-0.79206765916234
2.0070000000000	-0.79408632895930
2.0080000000000	-0.79613551397085
2.0090000000000	-0.79821487372751
2.0100000000000	-0.80032407436280
2.0110000000000	-0.80246278874817
2.0120000000000	-0.80463069662562
2.0130000000000	-0.80682748473821
2.0140000000000	-0.80905284695804
2.0150000000000	-0.81130648441206
2.0160000000000	-0.81358810560529
2.0170000000000	-0.81589742654202
2.0180000000000	-0.81823417084449
2.0190000000000	-0.82059806986906
2.0200000000000	-0.82298886282028
2.0210000000000	-0.82540629686244
2.0220000000000	-0.82785012722875
2.0230000000000	-0.83032011732821
2.0240000000000	-0.83281603885008
2.0250000000000	-0.83533767186593
2.0260000000000	-0.83788480492937
2.0270000000000	-0.84045723517360
2.0280000000000	-0.84305476840609
2.0290000000000	-0.84567721920161
2.0300000000000	-0.84832441099226
2.0310000000000	-0.85099617615571
2.0320000000000	-0.85369235610069
2.0330000000000	-0.85641280135043
2.0340000000000	-0.85915737162375
2.0350000000000	-0.86192593591372
2.0360000000000	-0.86471837256432
2.0370000000000	-0.86753456934449
2.0380000000000	-0.87037442352029
2.0390000000000	-0.87323784192454
2.0400000000000	-0.87612474102443
2.0410000000000	-0.87903504698683
2.0420000000000	-0.88196869574150
2.0430000000000	-0.88492563304208
2.0440000000000	-0.88790581452495
2.0450000000000	-0.89090920576601
2.0460000000000	-0.89393578233532
2.0470000000000	-0.89698552984967
2.0480000000000	-0.90005844402313
2.0490000000000	-0.90315453071550
2.0500000000000	-0.90627380597883
2.0510000000000	-0.90941629610189
2.0520000000000	-0.91258203765273
2.0530000000000	-0.91577107751924
2.0540000000000	-0.91898347294789
2.0550000000000	-0.92221929158051
2.0560000000000	-0.92547861148926
2.0570000000000	-0.92876152120972
2.0580000000000	-0.93206811977225
2.0590000000000	-0.93539851673151
2.0600000000000	-0.93875283219426
2.0610000000000	-0.94213119684543
2.0620000000000	-0.94553375197258
2.0630000000000	-0.94896064948856
2.0640000000000	-0.95241205195265
2.0650000000000	-0.95588813259015
2.0660000000000	-0.95938907531014
2.0670000000000	-0.96291507472216
2.0680000000000	-0.96646633615087
2.0690000000000	-0.97004307564970
2.0700000000000	-0.97364552001269
2.0710000000000	-0.97727390678524
2.0720000000000	-0.98092848427327
2.0730000000000	-0.98460951155109
2.0740000000000	-0.98831725846811
2.0750000000000	-0.99205200565404
2.0760000000000	-0.99581404452308
2.0770000000000	-0.99960367727675
